Neighborhood,Latitude,Longitude
"Swan Canyon, San Diego",32.544800000000066,-117.07252999999997
"Talmadge, San Diego",32.966860000000054,-117.15419999999995
"Tierrasanta, San Diego",32.96439,-117.23153849999998
"Tijuana River Valley, San Diego",32.86962831108491,-117.242390687862
"Torrey Highlands, San Diego",32.71568000000008,-117.16170999999997
"Torrey Hills, San Diego",32.851440000000025,-117.21638999999999
"Torrey Pines, San Diego",32.759070000000065,-117.14815999999996
"Tri-City, San Diego County, California",32.69882000000007,-117.07815999999997
"University City, San Diego",32.86162000000007,-117.23321999999996
"University Heights, San Diego",32.704434000000006,-117.12227119943144
"Valencia Park, San Diego",32.71452000000005,-117.24454999999995
